ID,WBS_Code,Task_Name,Start_Date,Finish_Date,Duration_Days,Predecessors,Resources,Status,Milestone,Deadline
1001,1.1,Land Survey,2026-01-01,2026-01-05,5,,Land Surveyor,Completed,No,
1002,1.2,Geotechnical Investigation,2026-01-06,2026-01-10,5,1001,Civil Engineer,Completed,No,
1003,1.3,Concept Design Approval,2026-01-11,2026-01-12,2,1002,Lead Architect,Completed,Yes,2026-01-12
1004,1.4,Tunnel Boring Machine Setup,2026-01-15,2026-01-20,6,1003,TBM Operator,In Progress,No,
1005,1.5,TBM Tunnel Excavation,2026-01-21,2026-02-10,20,1004,TBM Operator,Not Started,No,
1006,1.6,Station Structural Construction,2026-01-25,2026-02-15,22,1003,Civil Engineer,In Progress,No,
1007,1.7,Signaling System Installation,2026-02-16,2026-02-25,10,1006,Signaling Specialist,Not Started,No,
1008,1.8,Rolling Stock Integration,2026-02-26,2026-03-05,8,1007,Rolling Stock Engineer,Not Started,No,
1009,1.9,Safety Audit,2026-03-06,2026-03-07,2,1008,Safety Engineer,Not Started,Yes,2026-03-07
1010,2.0,Project Legal Review,2026-02-01,2026-01-28,3,9999,Legal Consultant,On Hold,No,
